experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.mask,run.duration,run.duration_sec,run.short_name,run.full_name,run.no,wrapper.type,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.recombiner.type,gen.recombiner.recombination_rate,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,EvolutionaryStrategy,34,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,43
1,EvolutionaryStrategy,33,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,44
1,EvolutionaryStrategy,32,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,45
1,EvolutionaryStrategy,31,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,46
1,EvolutionaryStrategy,30,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,47
1,EvolutionaryStrategy,29,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,48
1,EvolutionaryStrategy,28,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,49
1,EvolutionaryStrategy,1,0.000489923928398639,2.589280339884707,0.5686813186813187,0.7244741650235963,0.29728333205564683,0.9988415241241455,17,0,1,0,33 > 01 > 02 > 03 > 04 > 05 > 06 > 13 > 14 > 34,33 > 01 > 02 > 03 > 04 > 05 > 07 > 08 > 09 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 27 > 26 > 29 > 28 > 20 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,2,50
1,EvolutionaryStrategy,50,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,1
1,EvolutionaryStrategy,13,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,2
1,EvolutionaryStrategy,23,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,3
1,EvolutionaryStrategy,22,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,4
1,EvolutionaryStrategy,21,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,5
1,EvolutionaryStrategy,20,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,6
1,EvolutionaryStrategy,19,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,7
1,EvolutionaryStrategy,18,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,8
1,EvolutionaryStrategy,17,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,9
1,EvolutionaryStrategy,16,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,10
1,EvolutionaryStrategy,15,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,11
1,EvolutionaryStrategy,14,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,12
1,EvolutionaryStrategy,12,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,13
1,EvolutionaryStrategy,49,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,14
1,EvolutionaryStrategy,11,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,15
1,EvolutionaryStrategy,10,0.9984999895095825,2.3849610923029863,0.6254578754578755,0.7608317447725093,0.0,0.9986714720726013,8,1,0,1,33 > 00 > 00 > 00 > 01 > 00 > 00 > 00 > 33 > 00 > 02 > 03 > 04 > 05 > 06 > 05 > 08 > 33 > 10 > 11 > 12 > 06 > 13 > 00 > 13 > 14 > 26,33 > 01 > 02 > 03 > 04 > 05 > 06 > 05 > 07 > 09 > 08 > 10 > 11 > 12 > 06 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 24 > 25 > 14 > 34,1111,0:00:00.056036,0.056035757064819336,EGW_ES_EGW_DBI_RWS_UC_DDM_FSR_IM_ncycles95,EvoGeneratorWrapper_EvolutionaryStrategy_EvoGeneratorWrapper_DistributionBasedInitiator_RouletteWheelSelector_UniformCrosser_DataDistributionMutator_FittestSurvivorRecombiner_ImprovementMeasure,19,EvoGeneratorWrapper,35,27,21,1,EvolutionaryStrategy,95,1000,100,1000,DistributionBasedInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.01,0.01,0.01,FittestSurvivorRecombiner,,486,35,27,1111,ImprovementMeasure,1,3,16
